"No.","Time","Source","Destination","Protocol","Length","Info"
"1194","342.993296","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1195","343.144830","192.168.230.103","192.168.196.51","DNS","76","Standard query 0xb2a1 A api.mendeley.com"
"1196","343.150662","192.168.196.51","192.168.230.103","DNS","124","Standard query response 0xb2a1 A api.mendeley.com A 52.16.0.149 A 52.208.61.123 A 52.17.227.103"
"1197","343.360975","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"1198","343.496307","Cisco_eb:9c:98","Cisco_eb:9c:98","LOOP","60","Reply"
"1199","343.592632","192.168.230.113","255.255.255.255","DHCP","316","DHCP Discover - Transaction ID 0x22fc7e8d"
"1200","343.595996","HewlettP_ff:eb:63","Broadcast","ARP","60","Who has 192.168.230.116? Tell 192.168.230.113"
"1201","343.993647","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1202","344.401057","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
"1203","344.461031","Cisco_eb:9c:98","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 32768/230/bc:16:f5:eb:9c:80  Cost = 0  Port = 0x8018"
"1204","344.593993","HewlettP_ff:eb:63","Broadcast","ARP","60","Who has 192.168.230.116? Tell 192.168.230.113"
"1205","344.993898","192.168.230.126","192.168.230.255","UDP","305","54915  >  54915 Len=263"
"1206","345.441351","Raspberr_bd:51:74","Broadcast","ARP","60","Who has 192.168.230.144? Tell 192.168.230.139"
